"Anchorage","Anchorage Municipality","Alaska","http://www.muni.org/"
"Bethel","Bethel Census Area","Alaska","http://www.cityofbethel.org/"
"Coffman Cove","Prince of Wales-Outer Ketchikan Census Area","Alaska","http://www.coffmancove.org/"
"Cordova","Valdez-Cordova Census Area","Alaska","http://www.biglake-ak.com/"
"Craig","Prince of Wales-Outer Ketchikan Census Area","Alaska","http://www.craigak.com/"
"Delta Junction","Southeast Fairbanks Census Area","Alaska","http://www.ci.delta-junction.ak.us/"
"Dillingham","Dillingham Census Area","Alaska","http://www.ci.dillingham.ak.us/"
"Fairbanks","Fairbanks North Star Borough","Alaska","http://www.ci.fairbanks.ak.us/"
"Haines","Haines Borough","Alaska","http://www.haines.ak.us/"
"Homer","Kenai Peninsula Borough","Alaska","http://www.ci.homer.ak.us/"
"Juneau","Juneau City and Borough","Alaska","http://www.juneau.org/"
"Kaktovik","North Slope Borough","Alaska","http://www.kaktovik.com/"
"Kenai","Kenai Peninsula Borough","Alaska","http://www.ci.kenai.ak.us/"
"Ketchikan","Ketchikan Gateway Borough","Alaska","http://www.city.ketchikan.ak.us/"
"Kodiak","Kodiak Island Borough","Alaska","http://www.city.kodiak.ak.us/"
"Kotzebue","Northwest Arctic Borough","Alaska","http://kotzpdweb.tripod.com/"
"Nome","Nome Census Area","Alaska","http://www.nomealaska.org/"
"North Pole","Fairbanks North Star Borough","Alaska","http://www.northpolealaska.com/"
"Pelican","Skagway-Hoonah-Angoon Census Area","Alaska","http://www.pelican.net/"
"Petersburg","Wrangell-Petersburg Census Area","Alaska","http://www.ci.petersburg.ak.us/"
"Seldovia","Kenai Peninsula Borough","Alaska","http://www.cityofseldovia.com/"
"Sitka","Sitka City and Borough","Alaska","http://www.cityofsitka.com/"
"Skagway","Skagway-Hoonah-Angoon Census Area","Alaska","http://www.skagway.org/"
"Soldotna","Kenai Peninsula Borough","Alaska","http://www.ci.soldotna.ak.us/"
"Unalaska","Aleutians West Census Area","Alaska","http://www.ci.unalaska.ak.us/"
"Valdez","Valdez-Cordova Census Area","Alaska","http://www.ci.valdez.ak.us/"
"Wasilla","Matanuska-Susitna Borough","Alaska","http://www.cityofwasilla.com/"
"Wrangell","Wrangell-Petersburg Census Area","Alaska","http://www.wrangell.com/"
"Anchorage Municipality",,"Alaska","http://www.muni.org/"
"Bristol Bay Borough",,"Alaska","http://www.theborough.com/"
"Denali Borough",,"Alaska","http://www.denaliborough.govoffice.com/"
"Fairbanks North Star Borough",,"Alaska","http://www.co.fairbanks.ak.us/"
"Haines Borough",,"Alaska","http://www.hainesborough.us/"
"Juneau City and Borough",,"Alaska","http://www.juneau.org/"
"Kenai Peninsula Borough",,"Alaska","http://www.borough.kenai.ak.us/"
"Ketchikan Gateway Borough",,"Alaska","http://www.borough.ketchikan.ak.us/"
"Kodiak Island Borough",,"Alaska","http://www.kodiakak.us/"
"Matanuska-Susitna Borough",,"Alaska","http://www.matsugov.us/"
"North Slope Borough",,"Alaska","http://www.north-slope.org/"
"Northwest Arctic Borough",,"Alaska","http://www.nwabor.org/"
"Sitka City and Borough",,"Alaska","http://www.cityofsitka.com/"
"Yakutat City and Borough",,"Alaska","http://www.yakutatak.govoffice2.com/"
"Dauphin Island","Mobile","Alabama","http://townofdauphinisland.org/"
"Houston County",,"Alabama","http://www.houstoncounty.org/"
"Jefferson County",,"Alabama","http://www.jeffcointouch.com/"
"Decatur","Morgan","Alabama","http://www.digitaldecatur.com/"
"Demopolis","Marengo","Alabama","http://www.demopolisal.com/"
"Lauderdale County",,"Alabama","http://lauderdalecountyonline.com/"
"Robertsdale","Baldwin","Alabama","http://www.robertsdale.org/"
"Lee County",,"Alabama","http://www.leeco.us/"
"Limestone County",,"Alabama","http://www.limestonecounty.net/"
"Dothan","Houston","Alabama","http://www.dothan.org/"
"Russellville","Franklin","Alabama","http://www.russellvillegov.org/"
"Madison County",,"Alabama","http://www.co.madison.al.us/"
"Marion County",,"Alabama","http://www.sonet.net/marioncounty/"
"Marshall County",,"Alabama","http://www.marshallco.org/www/"
"Mobile County",,"Alabama","http://www.mobilecountyal.gov/"
"Saraland","Mobile","Alabama","http://www.saraland.org/"
"Monroe County",,"Alabama","http://www.monroecountyal.com/"
"Elba","Coffee","Alabama","http://www.elbaalabama.net/"
"Sardis City","Etowah","Alabama","http://www.sardiscity.com/"
"Montgomery County",,"Alabama","http://www.mc-ala.org/"
"Satsuma","Mobile","Alabama","http://www.cityofsatsuma.com/"
"Morgan County",,"Alabama","http://www.co.morgan.al.us/"
"Scottsboro","Jackson","Alabama","http://www.cityofscottsboro.org/"
"Selma","Dallas","Alabama","http://www.selmaalabama.com/"
"Sheffield","Colbert","Alabama","http://www.sheffieldalabama.org/"
"Enterprise","Coffee","Alabama","http://www.cityofenterprise.net/"
